,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
1,0,0,0,1,0,0,0,0,0,roland,roland fantom x8 ,Aguilar242,Navarra,13/05/2023,28/06/2023,3/6/2023,256,861
2,0,0,0,1,0,0,0,0,0,roland,roland tr8 ,trocol,Madrid,03/05/2023,29/06/2023,3/6/2023,234,659
3,0,0,0,1,0,0,0,0,0,korg,korg wavestate ,Markus,Granada,30/05/2023,29/07/2023,3/6/2023,70,627
4,0,0,0,1,0,0,0,0,0,decksaver,akai force + decksaver + opx4 ,dce,Sevilla,27/05/2023,25/07/2023,3/6/2023,150,300
5,0,0,0,1,0,0,0,0,0,roland,roland 1976 analog synth genesis cure camel string machine ,TheMix,Pontevedra,29/12/2022,28/06/2023,3/6/2023,1241,591
6,0,0,0,1,0,0,0,0,0,studio,controlador fatar studio 900 ,dmaio2002us,Murcia,31/10/2022,27/06/2023,3/6/2023,1894,950
7,0,0,1,0,0,0,0,0,0,dreadbox,dreadbox typhon - sintetizador analógico y multiefectos estéreo ,ElmoreFreak,Las Palmas, ,27/06/2023,3/6/2023,228,1101
8,0,0,0,1,0,0,0,0,0,roland,sintetizador roland spv-355 ,finess7,Huelva,20/08/2022,26/06/2023,3/6/2023,1765,703
9,0,0,0,1,0,0,0,0,0,eurorack,varios sintes y módulos eurorack ,Nöise&Vice,Córdoba,17/04/2023,29/06/2023,3/6/2023,2715,1074
10,0,0,0,1,0,0,0,0,0,elektron,elektron analog heat mki ,Javier m,Córdoba,03/02/2023,29/06/2023,3/6/2023,476,750
11,0,0,0,1,0,0,0,0,0,roland,reservado roland fantom 06 ,Lolo López,Tarragona,29/05/2023,28/07/2023,3/6/2023,188,1092
12,0,0,0,1,0,0,0,0,0,nord electro ,"6d 61,waterfall ",antonius32,Madrid,20/05/2023,20/07/2023,3/6/2023,194,982
13,0,1,0,0,0,0,1,0,0,yamaha,tarjeta expansion yamaha plg-150-an ,bodo kuznik,Baleares,27/05/2023,25/07/2023,3/6/2023,80,1120
14,0,0,0,1,0,0,0,0,0,casio,teclado casio ctk631 ,otro_yo,Madrid,31/03/2023,28/06/2023,3/6/2023,224,779
15,0,0,1,0,0,0,0,0,0,ensoniq,"ensoniq mirage rack dms-8 restaurado 1986 8 bits, curtis analog filter 3328 ",Olaf Svendson,Toledo,06/05/2023,25/06/2023,3/6/2023,452,1266
16,0,0,0,1,0,0,0,0,0,elektron,elektron monomachine sfx60 + mkii ,acetate,Málaga,27/05/2023,24/07/2023,3/6/2023,188,727
17,0,0,0,1,0,0,0,0,0,moog,moog one 8 ,Alejandro,León,28/05/2023,27/07/2023,3/6/2023,114,912
18,0,0,0,1,0,0,0,0,0,waldorf,waldorf m sintetizador wavetable ,Storm,Bizkaia,24/12/2021,28/06/2023,3/6/2023,2932,533
19,0,0,0,1,0,0,0,0,0,eurorack,"módulo eurorack ""2hp snare"" ",f77,Barcelona,16/12/2022,25/06/2023,3/6/2023,324,212
20,0,0,0,1,0,0,0,0,0,vermona,vermona drm1 mkiii sintetizador percusión analógico versión trigger nuevo ,Albornozz,Madrid,20/11/2022,27/06/2023,3/6/2023,964,961
21,0,0,0,1,0,0,0,0,0,roland,roland rs-505 ,Cobe,Madrid,29/05/2023,28/07/2023,3/6/2023,246,377
22,0,0,0,1,0,0,0,0,0,-,soma lyra-8 sintetizador drone analógico ,Javier m,Córdoba,14/04/2023,26/06/2023,3/6/2023,374,750
23,0,0,0,1,0,0,0,0,0,-,oxi one + estuche + envío incluido ,ElmoreFreak,Las Palmas,12/01/2023,27/06/2023,3/6/2023,566,1101
