,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
1,0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,selimorgan,Valencia,08/05/2022,30/09/2022,1/9/2022,730,1073
2,0,0,0,1,350,0,0,0,0,modal electronics ,cobalt 5s ,Luis Martín (Roma 18),Castellón,25/07/2022,23/09/2022,1/9/2022,340,1845
3,0,0,0,1,900,0,0,0,0,moog,moog little phatty stage 2 ,Gergö,Baleares,10/07/2021,28/09/2022,1/9/2022,576,635
4,0,0,0,1,1100,0,0,0,0,kawai,kawai mp 11 ,Daniel Lillo Mendoza,Sevilla,01/09/2022,30/10/2022,1/9/2022,80,1879
5,0,0,0,1,480,0,0,0,0,mpc,mpc live ssd 250 envío incluido ,djoy,Albacete,26/08/2022,25/10/2022,1/9/2022,216,438
6,0,0,0,1,105,0,0,0,0,synthrotek,synthrotek fold ,moog1406,Girona,03/01/2022,20/09/2022,1/9/2022,502,637
7,0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,NELUQ,Cuenca,04/07/2022,18/09/2022,1/9/2022,572,389
8,0,0,1,0,0,0,0,0,0,kurzweil,kurzweil k2500x ,chinog,Madrid,18/08/2022,17/10/2022,1/9/2022,308,632
9,0,0,0,1,80,0,0,0,0,midi,alesis qx49 - controlador midi ,SINTEXIA,Córdoba,19/07/2022,17/09/2022,1/9/2022,212,613
10,0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,22/06/2021,22/09/2022,1/9/2022,2473,1301
11,0,0,0,1,23,0,0,0,0,korg,korg t3 deslizador volumen ,FranZiskAner,Barcelona,28/08/2022,27/10/2022,1/9/2022,58,1198
12,0,0,0,1,320,0,0,0,0,instruments,kordbot isla instruments ,IK3R,Barcelona,25/02/2022,27/09/2022,1/9/2022,944,281
13,0,1,0,0,0,0,0,0,0,roland,roland sound library pcm1-06 baroque ,mentemodular,Gipuzkoa,01/04/2021,29/09/2022,1/9/2022,598,1293
14,0,0,0,1,600,0,0,0,0,roland,roland d-50 ,subsoniq,Barcelona,30/12/2021,10/10/2022,1/9/2022,1237,884
15,0,0,0,1,260,0,0,0,0,m-audio,controlador midi usb m-audio oxygen 88 teclas ,Agostinho,A Coruña,22/07/2022,20/09/2022,1/9/2022,298,940
16,0,0,0,1,4500,0,0,0,0,-,"varios sintetizadores, cajas ritmo, efectos ",sergiommms,A Coruña,22/07/2022,20/09/2022,1/9/2022,810,1091
17,0,0,0,1,500,0,0,0,0,yamaha,yamaha su 700 ,nekrend,Araba,27/08/2022,27/10/2022,1/9/2022,168,743
18,0,0,0,1,200,0,0,0,0,jomox,jomox t-resonator mkii ,Alinter,Cádiz,09/07/2022,09/09/2022,1/9/2022,594,719
19,0,0,0,1,1000,0,0,0,0,pearl,piano pearl river pd180d ,moog1406,Girona,20/09/2020,08/10/2022,1/9/2022,790,637
20,0,0,1,0,410,0,0,0,0,poly,poly beebo no ,ElmoreFreak,Las Palmas,08/06/2022,20/09/2022,1/9/2022,335,1101
21,0,0,0,1,975,0,0,0,0,nord lead ,4 ,santibcn,Barcelona,10/04/2022,07/10/2022,1/9/2022,1153,850
