,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,user_anon
1,0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,Valencia,08/05/2022,30/09/2022,1/9/2022,732,1073
2,0,0,0,1,350,0,0,0,0,modal electronics ,cobalt 5s ,Castellón,25/07/2022,23/09/2022,1/9/2022,342,1845
3,0,0,0,1,900,0,0,0,0,moog,moog little phatty stage 2 ,Baleares,10/07/2021,28/09/2022,1/9/2022,578,635
4,0,0,0,1,1100,0,0,0,0,kawai,kawai mp 11 ,Sevilla,22 horas,30/10/2022,1/9/2022,82,1879
5,0,0,0,1,480,0,0,0,0,mpc,mpc live ssd 250 envío incluido ,Albacete,6 días,25/10/2022,1/9/2022,218,438
6,0,0,0,1,105,0,0,0,0,synthrotek,synthrotek fold ,Girona,03/01/2022,20/09/2022,1/9/2022,504,637
7,0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,Cuenca,04/07/2022,18/09/2022,1/9/2022,574,389
8,0,0,1,0,0,0,0,0,0,kurzweil,kurzweil k2500x ,Madrid,2 semanas,17/10/2022,1/9/2022,310,632
9,0,0,0,1,80,0,0,0,0,midi,alesis qx49 - controlador midi ,Córdoba,19/07/2022,17/09/2022,1/9/2022,214,613
10,0,0,0,1,2600,0,0,0,0,yamaha,yamaha genos con maleta ,Girona,45 minutos,31/10/2022,1/9/2022,20,320
11,0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Barcelona,22/06/2021,22/09/2022,1/9/2022,2475,1301
12,0,0,0,1,23,0,0,0,0,korg,korg t3 deslizador volumen ,Barcelona,4 días,27/10/2022,1/9/2022,60,1198
13,0,0,0,1,320,0,0,0,0,instruments,kordbot isla instruments ,Barcelona,25/02/2022,27/09/2022,1/9/2022,948,281
14,0,1,0,0,0,0,0,0,0,roland,roland sound library pcm1-06 baroque ,Gipuzkoa,01/04/2021,29/09/2022,1/9/2022,600,1293
15,0,0,0,1,600,0,0,0,0,roland,roland d-50 ,Barcelona,30/12/2021,10/10/2022,1/9/2022,1239,884
16,0,0,0,1,260,0,0,0,0,m-audio,controlador midi usb m-audio oxygen 88 teclas ,A Coruña,22/07/2022,20/09/2022,1/9/2022,300,940
17,0,0,0,1,4500,0,0,0,0,-,"varios sintetizadores, cajas ritmo, efectos ",A Coruña,22/07/2022,20/09/2022,1/9/2022,816,1091
18,0,0,0,1,500,0,0,0,0,yamaha,yamaha su 700 ,Araba,5 días,27/10/2022,1/9/2022,172,743
19,0,0,0,1,200,0,0,0,0,jomox,jomox t-resonator mkii ,Cádiz,09/07/2022,09/09/2022,1/9/2022,596,719
