,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
1,0,0,0,1,350,0,0,0,0,dreadbox,dreadbox nyx v1 ,selimorgan,Valencia,08/05/2022,04/11/2022,1/11/2022,1094,1073
2,0,0,0,1,390,0,0,0,0,waldorf,waldorf blofeld keyboard blanco ,carlominus,Madrid,07/09/2022,26/11/2022,1/11/2022,373,1085
3,0,0,0,1,140,0,0,0,0,roland,módulo eurorack roland torcido ,VINIK,Barcelona,15/09/2022,14/11/2022,1/11/2022,381,385
4,0,0,0,1,120,0,0,0,0,-,ikea stolmen ,Julian Carrara,Madrid,18/10/2022,23/11/2022,1/11/2022,740,1343
5,0,0,0,1,1200,0,0,0,0,kawai,kawai mp 11 ,Daniel B García,Murcia,25/10/2022,22/12/2022,1/11/2022,114,1434
6,0,0,1,0,650,0,0,0,0,virus,access virus snow ,spankmeo,Madrid,11/10/2022,11/12/2022,1/11/2022,316,862
7,0,1,0,0,0,0,0,0,0,-,flight case para teclado ,untitled 01,Barcelona,25/10/2022,22/12/2022,1/11/2022,76,1002
8,0,0,0,1,40,0,0,0,0,ensoniq,ensoniq mc-32 ,cvsequencer,Barcelona,12/09/2022,23/11/2022,1/11/2022,197,1188
9,0,0,0,1,1200,0,0,0,0,korg,korg pa3x le con funda ,saimonfun,Madrid,26/09/2022,01/12/2022,1/11/2022,332,976
10,0,0,0,1,1300,0,0,0,0,roland,roland fantom g6 ,NELUQ,Cuenca,04/07/2022,21/11/2022,1/11/2022,1012,389
11,0,1,0,0,0,0,0,0,0,roland,roland pg-10 programmer ,Heavengazer,Murcia,04/10/2022,06/12/2022,1/11/2022,126,1136
12,0,0,0,1,600,0,0,0,0,kurzweil,kurzweil k2500x ,japovaz,Ourense,25/10/2022,29/11/2022,1/11/2022,280,763
13,0,0,0,1,115,0,0,0,0,make noise ,contour ,Øliveira,Pontevedra,18/10/2022,30/11/2022,1/11/2022,136,964
14,0,0,0,1,500,0,0,0,0,roland,roland mc-909 sampling groovebox ,Rammsysounds,Barcelona,22/06/2021,11/11/2022,1/11/2022,2839,1301
15,0,0,0,1,39,0,0,0,0,the,pocket express mark of the unicorn ,Miguel & Mike,Salamanca,01/10/2022,28/11/2022,1/11/2022,379,1103
