,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
1,0,0,0,1,200,0,0,0,0,korg,korg 05r w módulo ,Madrid,2023/07/27,2024/06/14,2023/12/20,450
2,0,0,0,1,360,0,0,0,0,waldorf,waldorf pulse rack ,Barcelona,2023/12/19,2024/06/15,2023/12/20,82
3,0,0,0,1,450,0,0,0,0,roland,sampler s750 roland ,Madrid,2023/09/30,2024/06/11,2023/12/20,426
4,0,0,1,0,0,0,0,0,0,roland,roland rd 2000 ,Madrid,2023/11/19,2024/06/12,2023/12/20,274
5,0,0,0,1,340,0,0,0,0,studiologic,studiologic numa compact 2 ,Castellón,2023/12/17,2024/06/13,2023/12/20,106
6,0,0,0,1,30,0,0,0,0,moog,patch and tweak with moog a estrenar en barcelona ,Barcelona,2023/12/20,2024/06/16,2023/12/20,44
7,0,0,0,1,425,0,0,0,0,korg,korg drumlogue ,Bizkaia,2023/01/24,2024/06/13,2023/12/20,1526
8,0,0,0,1,22,0,0,0,0,roland,sonidos roland jupiter x xm series y zenology pro software ,Pontevedra,2022/07/15,2024/06/16,2023/12/20,1738
9,0,0,0,1,320,0,0,0,0,waldorf,sintetizador waldorf micro q ,Albacete,2023/10/29,2024/04/26,2023/12/20,424
10,0,0,0,1,90,0,0,0,0,doepfer,doepfer dual quantizer vintage edition ,Madrid,2023/11/29,2024/06/13,2023/12/20,76
11,0,0,0,1,75,0,0,0,0,m-audio,controlador m-audio 5 octavas evolution mk461c ,Madrid,2023/02/15,2024/06/16,2023/12/20,621
12,0,0,0,1,1100,0,0,0,0,luthier,le luthier onde ,Barcelona,2023/10/09,2024/06/09,2023/12/20,361
13,0,1,0,0,0,0,0,0,0,ensoniq,necesito programacion eprom para ensoniq esq1 ,Albacete,2023/12/14,2024/06/10,2023/12/20,126
14,0,0,0,1,240,0,0,0,0,roland,roland eg 101 ,Cantabria,2023/06/16,2024/06/11,2023/12/20,619
15,0,0,0,1,260,0,0,0,0,fairfield,fairfield circuitry shallow water ,Barcelona,2023/09/21,2024/06/15,2023/12/20,316
16,0,0,0,1,500,0,0,0,0,modal,"modal cobalt + extras, en garantía ",Sevilla,2023/12/13,2024/06/15,2023/12/20,125
17,0,0,0,1,280,0,0,0,0,boss,boss re 202 space echo ,Sevilla,2023/11/07,2024/06/15,2023/12/20,388
18,0,0,0,1,1300,0,0,0,0,yamaha,yamaha psr-sx-900 ,Madrid,2023/12/17,2024/06/13,2023/12/20,56
19,0,0,0,1,360,0,0,0,0,doepfer,doepfer dark energy mki chip curtis cem3394 con glide mod ,Barcelona,2023/12/06,2024/06/11,2023/12/20,119
20,0,0,0,1,475,0,0,0,0,yamaha,sampler yamaha a5000 con extras ,Madrid,2023/12/16,2024/06/12,2023/12/20,142
21,0,0,0,1,295,0,0,0,0,roland,jx-08 roland boutique ,Barcelona,2023/07/10,2024/06/14,2023/12/20,812
22,0,0,0,1,825,0,0,0,0,mpc,mpc live mk2 ,Valencia,2023/12/20,2024/06/16,2023/12/20,58
23,0,0,0,1,670,0,0,0,0,roland,roland fantom x8 ,Navarra,2023/05/11,2024/06/13,2023/12/20,1257
24,0,0,0,1,320,0,0,0,0,intellijel,intellijel metropolis ,Barcelona,2023/12/06,2024/06/13,2023/12/20,94
25,0,0,0,1,480,0,0,0,0,cosmos,cosmos drifting memory station ,Asturias,2023/11/29,2024/06/08,2023/12/20,315
26,0,0,0,1,300,0,0,0,0,moog,moog theremini ,Barcelona,2023/12/13,2024/06/12,2023/12/20,204
27,0,1,0,0,0,0,0,0,0,linndrum,linndrum ,Burgos,2023/12/13,2024/06/10,2023/12/20,121
28,0,0,0,1,369,0,0,0,0,roland,estación de trabajo roland mv-30 + librería de sonidos roland d-70 ,Zaragoza,2023/06/21,2024/06/13,2023/12/20,672
29,0,0,0,1,4000,0,0,0,0,moog,moog minimoog voyager performer edition ,Barcelona,2023/07/12,2024/06/09,2023/12/20,469
30,0,0,0,1,1800,0,0,0,0,sequential,sequential prophet rev2 16 voices ,Valencia,2023/10/27,2024/06/13,2023/12/20,987
31,0,0,0,1,895,0,0,0,0,roland,roland jd-xa ,A Coruña, ,2024/06/03,2023/12/20,240
32,0,0,0,1,640,0,0,0,0,digitakt,digitakt con 3 meses ,Badajoz,2023/12/06,2024/06/16,2023/12/20,156
33,0,0,0,1,485,0,0,0,0,korg,korg tritón le 61 teclas ,Málaga,2023/12/13,2024/06/09,2023/12/20,70
34,0,0,0,1,40,0,0,0,0,korg,decksaver cubrepolvo para korg minilogue ,Cantabria,2023/12/13,2024/06/15,2023/12/20,85
35,0,0,0,1,1200,0,0,0,0,future retro ,777 ,Málaga,2023/12/06,2024/06/04,2023/12/20,238
36,0,0,0,1,600,0,0,0,0,casio,casio fz10m fz-10m gotek emulator ,Madrid,2023/12/19,2024/06/15,2023/12/20,114
37,0,0,0,1,350,0,0,0,0,uno,uno synth pro x en barcelona ,Barcelona,2023/12/20,2024/06/16,2023/12/20,78
38,0,0,0,1,300,0,0,0,0,korg,korg pa 300 ,Murcia,2023/10/29,2024/06/15,2023/12/20,239
39,0,0,0,1,900,0,0,0,0,moog,moog grand mother dark + decksaver ,Málaga,2023/12/13,2024/06/06,2023/12/20,188
40,0,0,0,1,140,0,0,0,0,eurorack,cables eurorack pack oferta con soporte de regalo! ,Madrid,2023/12/20,2024/06/15,2023/12/20,82
41,0,0,0,1,90,0,0,0,0,behringer,behringer eurorack 104 + cp1a ,Barcelona,2023/12/13,2024/06/12,2023/12/20,158
42,0,0,0,1,425,0,0,0,0,casio,teclado casio celviano ap80r ,Barcelona,2023/10/10,2024/06/10,2023/12/20,222
43,0,0,0,1,225,0,0,0,0,-,ms-101 ,Cádiz,2023/11/06,2024/01/11,2023/12/20,374
44,0,0,0,1,369,0,0,0,0,roland,módulo secuenciador de producción musical roland mv-30 ver videos demo ,Zaragoza,2023/01/25,2024/06/09,2023/12/20,1997
45,0,0,0,1,50,0,0,0,0,korg,stardust synth cover para korg arp odyssey mini ,Cantabria,2023/12/13,2024/06/15,2023/12/20,27
46,0,0,0,1,75,0,0,0,0,doepfer,doepfer a-106-1 xtreme filter ms20 ,Barcelona,2022/06/08,2024/06/12,2023/12/20,1075
47,0,0,0,1,400,0,0,0,0,squarp,squarp pyramid mk3 ,Sevilla,2023/12/18,2024/06/14,2023/12/20,94
48,0,0,0,1,750,0,0,0,0,tasty,tasty chips electronics gr1 ,Baleares,2023/06/07,2024/06/16,2023/12/20,961
49,0,0,0,1,100,0,0,0,0,-,"equipos de estudio, sintes, caja de ritmo y secuenciador ",Araba,2023/06/01,2024/06/14,2023/12/20,3941
50,0,0,0,1,250,0,0,0,0,tiptop audio ,z-dsp ,Madrid,2023/02/23,2024/03/31,2023/12/20,663
51,0,0,0,1,190,0,0,0,0,make noise ,rené v1 ,Barcelona,2023/11/19,2024/01/15,2023/12/20,226
52,0,0,0,1,4500,0,0,0,0,hammond,hammond cv ,A Coruña,2023/09/25,2024/06/15,2023/12/20,469
53,0,0,0,1,75,0,0,0,0,casio,casio vl-tone vl-1 ,Bizkaia,2023/11/16,2024/06/13,2023/12/20,108
54,0,0,0,1,1600,0,0,0,0,nord electro ,6d 61+bolsa+funda ,Albacete,2023/12/13,2024/06/07,2023/12/20,59
55,0,0,0,1,289,0,0,0,0,arturia,teclado controlador arturia keylab mkii de 49 teclas ,A Coruña,2023/10/01,2024/06/12,2023/12/20,357
56,0,0,0,1,300,0,0,0,0,yamaha,yamaha reface cs ,Madrid,2023/11/14,2024/06/10,2023/12/20,226
57,0,0,0,1,130,0,0,0,0,digitech,digitech studio quad ,Valencia,2023/01/05,2024/01/11,2023/12/20,758
58,0,0,0,1,1250,0,0,0,0,isla,isla s2400 ,Málaga,2023/12/06,2024/06/07,2023/12/20,282
59,0,0,0,1,63,0,0,0,0,arturia,arturia keystep ,Pontevedra,2023/12/17,2024/06/14,2023/12/20,66
60,0,0,0,1,700,0,0,0,0,clavia,clavia nord lead 2 v1 06 condición excelente ,Barcelona,2023/12/20,2024/06/15,2023/12/20,80
61,0,0,0,1,350,0,0,0,0,yamaha,piano electrico yamaha clavinova clp-110 ,Tarragona,2023/12/06,2024/06/02,2023/12/20,118
