buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
0,0,1,200,0,0,0,0,korg,korg 05r w módulo ,Madrid,2023/07/27,2024/06/14,2023/12/20,456
0,0,1,360,0,0,0,0,waldorf,waldorf pulse rack ,Barcelona,2023/12/18,2024/06/15,2023/12/20,88
0,0,1,495,0,0,0,0,roland,sampler s750 roland ,Madrid,2023/09/30,2024/06/17,2023/12/20,440
0,1,0,0,0,0,0,0,roland,roland rd 2000 ,Madrid,2023/11/19,2024/06/12,2023/12/20,286
0,0,1,340,0,0,0,0,studiologic,studiologic numa compact 2 ,Castellón,2023/12/16,2024/06/13,2023/12/20,124
0,0,1,650,0,0,0,0,kurzweil,kurzweil pc3 le6 ,Madrid,2023/11/05,2024/06/17,2023/12/20,252
0,0,1,425,0,0,0,0,korg,korg drumlogue ,Bizkaia,2023/01/24,2024/06/16,2023/12/20,1530
0,0,1,22,0,0,0,0,roland,sonidos roland jupiter x xm series y zenology pro software ,Pontevedra,2022/07/15,2024/06/16,2023/12/20,1744
0,0,1,90,0,0,0,0,doepfer,doepfer dual quantizer vintage edition ,Madrid,2023/11/29,2024/06/13,2023/12/20,82
0,0,1,75,0,0,0,0,m-audio,controlador m-audio 5 octavas evolution mk461c ,Madrid,2023/02/15,2024/06/16,2023/12/20,629
1,0,0,0,0,0,0,0,ensoniq,necesito programacion eprom para ensoniq esq1 ,Albacete,2023/12/13,2024/06/10,2023/12/20,140
0,0,1,129,0,0,0,0,roland,roland eg 101 ,Castellón,2023/12/20,2024/06/17,2023/12/20,88
0,0,1,260,0,0,0,0,fairfield,fairfield circuitry shallow water ,Barcelona,2023/09/21,2024/06/15,2023/12/20,322
0,0,1,500,0,0,0,0,modal,"modal cobalt + extras, en garantía ",Sevilla,2023/12/13,2024/06/15,2023/12/20,133
0,0,1,280,0,0,0,0,boss,boss re 202 space echo ,Sevilla,2023/11/07,2024/06/15,2023/12/20,398
0,0,1,1300,0,0,0,0,yamaha,yamaha psr-sx-900 ,Madrid,2023/12/16,2024/06/13,2023/12/20,68
0,0,1,360,0,0,0,0,doepfer,doepfer dark energy mki chip curtis cem3394 con glide mod ,Barcelona,2023/12/06,2024/06/16,2023/12/20,129
0,0,1,470,0,0,0,0,yamaha,sampler yamaha a5000 con extras ,Madrid,2023/12/15,2024/06/17,2023/12/20,156
0,0,1,295,0,0,0,0,roland,jx-08 roland boutique ,Barcelona,2023/07/10,2024/06/14,2023/12/20,814
0,0,1,275,0,0,0,0,behringer,behringer pro 800 ,Barcelona,2023/12/20,2024/06/17,2023/12/20,122
0,0,1,800,0,0,0,0,mpc,mpc live mk2 ,Valencia,2023/12/18,2024/06/16,2023/12/20,130
0,0,1,670,0,0,0,0,roland,roland fantom x8 ,Navarra,2023/05/11,2024/06/13,2023/12/20,1269
0,0,1,320,0,0,0,0,intellijel,intellijel metropolis ,Barcelona,2023/12/06,2024/06/13,2023/12/20,100
0,0,1,480,0,0,0,0,cosmos,cosmos drifting memory station ,Asturias,2023/11/22,2024/06/16,2023/12/20,329
0,0,1,275,0,0,0,0,moog,moog theremini ,Barcelona,2023/12/06,2024/06/16,2023/12/20,230
0,1,0,0,0,0,0,0,-,zularic repetitor por numeric repetitor ,Barcelona,2023/10/27,2024/01/19,2023/12/20,107
1,0,0,0,0,0,0,0,linndrum,linndrum ,Burgos,2023/12/13,2024/06/10,2023/12/20,129
0,0,1,65,0,0,0,0,roland,tarjetas roland sr-jv80 para sintetizadores jv_xv_xp ,Madrid,2020/08/28,2024/06/16,2023/12/20,4703
0,0,1,270,0,0,0,0,komplete,teclado komplete kontrol s61 mk2 ,Barcelona,2023/11/18,2024/01/17,2023/12/20,242
0,0,1,2900,0,0,0,0,moog,moog voyager blue edition como nuevo ,Barcelona,2023/12/19,2024/06/16,2023/12/20,152
0,0,1,369,0,0,0,0,roland,estación de trabajo roland mv-30 + librería de sonidos roland d-70 ,Zaragoza,2023/06/21,2024/06/13,2023/12/20,676
0,0,1,480,0,0,0,0,modal,modal argon 8m ,Guadalajara,2023/05/30,2024/06/17,2023/12/20,499
0,0,1,1800,0,0,0,0,sequential,sequential prophet rev2 16 voices ,Valencia,2023/10/27,2024/06/17,2023/12/20,1015
0,0,1,895,0,0,0,0,roland,roland jd-xa - reservado ,A Coruña, ,2024/06/03,2023/12/20,256
0,0,1,600,0,0,0,0,digitakt,digitakt con 3 meses ,Badajoz,2023/12/06,2024/06/16,2023/12/20,174
0,0,1,40,0,0,0,0,korg,decksaver cubrepolvo para korg minilogue ,Cantabria,2023/12/13,2024/06/15,2023/12/20,97
0,0,1,220,0,0,0,0,arturia,arturia beatstep pro ,Guadalajara,2023/05/30,2024/06/17,2023/12/20,347
0,0,1,450,0,0,0,0,casio,casio fz10m fz-10m gotek emulator ,Madrid,2023/12/18,2024/06/15,2023/12/20,152
0,0,1,300,0,0,0,0,korg,korg pa 300 ,Murcia,2023/10/29,2024/06/15,2023/12/20,247
0,0,1,140,0,0,0,0,eurorack,cables eurorack pack oferta con soporte de regalo! ,Madrid,2023/12/18,2024/06/15,2023/12/20,104
0,0,1,90,0,0,0,0,behringer,behringer eurorack 104 + cp1a ,Barcelona,2023/12/06,2024/06/16,2023/12/20,180
0,0,1,425,0,0,0,0,casio,teclado casio celviano ap80r ,Barcelona,2023/10/10,2024/06/10,2023/12/20,228
0,1,0,0,0,0,0,0,korg,korg minipops 7 ,Granada,2023/08/04,2024/06/16,2023/12/20,598
0,0,1,369,0,0,0,0,roland,módulo secuenciador de producción musical roland mv-30 ver videos demo ,Zaragoza,2023/01/25,2024/06/16,2023/12/20,2007
