Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,seen,published_dt,expire_dt,date_scrapped_dt
1,0,0,0,1,120,0,0,0,0,korg,korg volca sample 2 ,Zaragoza,52,2024-02-09,2024-07-08,2024-02-09
2,0,0,0,1,200,0,0,0,0,korg,korg 05r w módulo ,Madrid,834,2023-07-27,2024-07-07,2024-02-09
3,0,0,0,1,3190,0,0,0,0,clavia,clavia nord stage 4 73 keys ,Baleares,385,2024-02-02,2024-07-05,2024-02-09
4,0,0,1,0,0,0,0,0,0,roland,roland rd 2000 ,Madrid,738,2023-11-19,2024-07-02,2024-02-09
5,0,0,0,1,425,0,0,0,0,korg,korg drumlogue ,Bizkaia,1970,2023-01-24,2024-07-08,2024-02-09
6,0,0,0,1,2300,0,0,0,0,-,"varios sintes, pedales, cajas ",Valladolid,2010,2023-09-04,2024-07-06,2024-02-09
7,0,0,0,1,550,0,0,0,0,deepmind,deepmind 12 d ,Barcelona,334,2024-02-04,2024-07-07,2024-02-09
8,0,0,0,1,75,0,0,0,0,m-audio,controlador m-audio 5 octavas evolution mk461c ,Madrid,925,2023-02-15,2024-07-02,2024-02-09
9,0,0,0,1,1100,0,0,0,0,luthier,le luthier onde ,Barcelona,767,2023-10-09,2024-07-07,2024-02-09
10,0,0,0,1,120,0,0,0,0,bohm,bohm dynamic 12 24 ,Madrid,558,2024-01-26,2024-07-06,2024-02-09
11,0,0,0,1,240,0,0,0,0,roland,roland eg 101 ,Cantabria,967,2023-06-16,2024-07-07,2024-02-09
12,0,0,0,1,460,0,0,0,0,modal,"modal cobalt + extras, en garantía ",Sevilla,589,2023-12-10,2024-07-04,2024-02-09
13,0,0,0,1,359,0,0,0,0,arturia,arturia keystep pro ,Girona,1761,2021-08-25,2024-07-08,2024-02-09
14,0,0,0,1,410,0,0,0,0,yamaha,sampler yamaha a5000 con extras ,Madrid,586,2024-01-12,2024-07-05,2024-02-09
15,0,0,0,1,890,0,0,0,0,access,access virus ti desktop ,Barcelona,96,2024-02-09,2024-07-08,2024-02-09
16,0,0,0,1,125,0,0,0,0,yamaha,yamaha su10 sampler 16 bits portátil compatible sds ,Alicante,216,2024-02-06,2024-07-06,2024-02-09
17,0,0,0,1,600,0,0,0,0,jomox,jomox xbase999 ,Barcelona,432,2023-06-16,2024-05-20,2024-02-09
18,0,0,0,1,275,0,0,0,0,moog,moog theremini ,Barcelona,718,2023-12-09,2024-07-06,2024-02-09
19,0,0,1,0,0,0,0,0,0,mpc,librería propia mpc ,Madrid,494,2023-09-30,2024-07-04,2024-02-09
20,0,0,0,1,60,0,0,0,0,roland,roland sr-jv80-10 bass and drums ,Madrid,4838,2020-08-28,2024-06-16,2024-02-09
21,0,0,0,1,400,0,0,0,0,akai,akai ewi 5000 ,Bizkaia,174,2024-02-06,2024-07-06,2024-02-09
22,0,0,0,1,700,0,0,0,0,elektron,elektron analog heat mkii ,Madrid,72,2024-02-08,2024-07-08,2024-02-09
23,0,0,0,1,43,0,0,0,0,doepfer,doepfer a-148 sample and hold ,Asturias,304,2024-02-02,2024-07-09,2024-02-09
