,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
1,0,0,0,1,120,0,0,0,0,korg,korg volca sample 2 ,Zaragoza,2024/02/09,2024/07/08,2024/2/9,52
2,0,0,0,1,200,0,0,0,0,korg,korg 05r w módulo ,Madrid,2023/07/27,2024/07/07,2024/2/9,834
3,0,0,0,1,3190,0,0,0,0,clavia,clavia nord stage 4 73 keys ,Baleares,2024/02/02,2024/07/05,2024/2/9,385
4,0,0,1,0,0,0,0,0,0,roland,roland rd 2000 ,Madrid,2023/11/19,2024/07/02,2024/2/9,738
5,0,0,0,1,425,0,0,0,0,korg,korg drumlogue ,Bizkaia,2023/01/24,2024/07/08,2024/2/9,1970
6,0,0,0,1,2300,0,0,0,0,-,"varios sintes, pedales, cajas ",Valladolid,2023/09/04,2024/07/06,2024/2/9,2010
7,0,0,0,1,550,0,0,0,0,deepmind,deepmind 12 d ,Barcelona,2024/02/04,2024/07/07,2024/2/9,334
8,0,0,0,1,75,0,0,0,0,m-audio,controlador m-audio 5 octavas evolution mk461c ,Madrid,2023/02/15,2024/07/02,2024/2/9,925
9,0,0,0,1,1100,0,0,0,0,luthier,le luthier onde ,Barcelona,2023/10/09,2024/07/07,2024/2/9,767
10,0,0,0,1,120,0,0,0,0,bohm,bohm dynamic 12 24 ,Madrid,2024/01/26,2024/07/06,2024/2/9,558
11,0,0,0,1,240,0,0,0,0,roland,roland eg 101 ,Cantabria,2023/06/16,2024/07/07,2024/2/9,967
12,0,0,0,1,460,0,0,0,0,modal,"modal cobalt + extras, en garantía ",Sevilla,2023/12/10,2024/07/04,2024/2/9,589
13,0,0,0,1,359,0,0,0,0,arturia,arturia keystep pro ,Girona,2021/08/25,2024/07/08,2024/2/9,1761
14,0,0,0,1,410,0,0,0,0,yamaha,sampler yamaha a5000 con extras ,Madrid,2024/01/12,2024/07/05,2024/2/9,586
15,0,0,0,1,890,0,0,0,0,access,access virus ti desktop ,Barcelona,2024/02/09,2024/07/08,2024/2/9,96
16,0,0,0,1,125,0,0,0,0,yamaha,yamaha su10 sampler 16 bits portátil compatible sds ,Alicante,2024/02/06,2024/07/06,2024/2/9,216
17,0,0,0,1,600,0,0,0,0,jomox,jomox xbase999 ,Barcelona,2023/06/16,2024/05/20,2024/2/9,432
18,0,0,0,1,275,0,0,0,0,moog,moog theremini ,Barcelona,2023/12/09,2024/07/06,2024/2/9,718
19,0,0,1,0,0,0,0,0,0,mpc,librería propia mpc ,Madrid,2023/09/30,2024/07/04,2024/2/9,494
20,0,0,0,1,60,0,0,0,0,roland,roland sr-jv80-10 bass and drums ,Madrid,2020/08/28,2024/06/16,2024/2/9,4838
21,0,0,0,1,400,0,0,0,0,akai,akai ewi 5000 ,Bizkaia,2024/02/06,2024/07/06,2024/2/9,174
22,0,0,0,1,700,0,0,0,0,elektron,elektron analog heat mkii ,Madrid,2024/02/08,2024/07/08,2024/2/9,72
